unix,open,high,low,close,volume,MA_20,EMA_20,RSI,macd,macdsignal,macdhist
1575943200000,147.12,147.48,146.82,147.12,9964.16495,148.274,148.08500665945772,39.455813198629365,-0.5909631655961789,-0.46376653783372923,-0.12719662776244967
1575946800000,147.1,147.36,146.84,147.23,5794.76585,148.17000000000002,148.00357742374416,40.629103127763635,-0.5830914921210706,-0.4876315286911975,-0.09545996342987306
1575950400000,147.23,147.37,146.89,147.21,7468.09643,148.0805,147.92799859624733,40.475518655765775,-0.5718747508842057,-0.5044801731297992,-0.06739457775440649
1575954000000,147.19,147.35,146.83,147.08,6697.5027,147.98600000000002,147.84723680077826,39.432101351486,-0.5669399849477941,-0.5169721354933982,-0.04996784945439592
1575957600000,147.07,147.25,146.91,147.11,6425.21035,147.877,147.77702375294172,39.817666015074046,-0.5542196984170005,-0.5244216480781186,-0.029798050338881832
1575961200000,147.11,147.48,146.8,147.27,7542.12731,147.7845,147.72873576452972,41.9404782574106,-0.5251742351986763,-0.5245721655022302,-0.0006020696964461614
1575964800000,147.26,147.35,146.67,146.88,8349.81734,147.6255,147.6479037688699,38.386233244897326,-0.5275440376891822,-0.5251665399396206,-0.002377497749561641
1575968400000,146.89,147.36,146.78,146.93,7737.95176,147.48700000000002,147.5795319675177,39.09880706849127,-0.5194002186981095,-0.5240132756913184,0.004613056993208908
1575972000000,146.94,147.39,146.94,147.26,6830.62752,147.3395,147.54910034598996,43.72472918792321,-0.48077585659740407,-0.5153657918725355,0.034589935275131434
1575975600000,147.26,147.46,147.12,147.23,6452.12662,147.3,147.518709831812,43.40197343488262,-0.4474288394917778,-0.501778401396384,0.05434956190460616
1575979200000,147.23,147.31,146.96,147.26,4264.90523,147.281,147.49407079651675,43.848342539516956,-0.41381019259145546,-0.48418475963539825,0.07037456704394279
1575982800000,147.22,147.33,146.91,147.0,5156.48067,147.22750000000002,147.4470164285608,40.84201190145513,-0.40349575194198906,-0.4680469580967164,0.06455120615472737
1575986400000,146.97,147.41,145.07,145.95,23459.84483,147.118,147.3044434178664,31.46088300387294,-0.47457707904635527,-0.4693529822866442,-0.005224096759711083
1575990000000,145.99,146.15,144.99,145.14,19847.1649,147.0085,147.09830592660816,26.419468024898364,-0.5894746763042349,-0.4933773210901623,-0.09609735521407259
1575993600000,145.15,145.69,145.0,145.36,11430.30273,146.9365,146.93275296458432,29.713847731958428,-0.655226643656647,-0.5257471856034592,-0.12947945805318772
1575997200000,145.34,145.49,144.66,144.68,7939.75926,146.803,146.71820504369322,25.85987940467248,-0.7535197617401082,-0.571301700830789,-0.18221806090931914
1576000800000,144.67,145.0,144.39,144.72,7669.45145,146.68099999999998,146.5278997857857,26.46408467929355,-0.8187520364579939,-0.62079176795623,-0.19796026850176385
1576004400000,144.77,145.02,144.55,144.97,3895.9555,146.5605,146.37952836657544,30.287959943355382,-0.8405864165194998,-0.664750697668884,-0.17583571885061589
1576008000000,144.91,144.92,143.81,144.69,8564.26615,146.41,146.21862089225937,28.500410605877473,-0.8704499744991097,-0.7058905530349291,-0.16455942146418057
1576011600000,144.69,145.3,144.61,144.96,4248.34462,146.3025,146.09875222855243,32.62944550149393,-0.8623892296170368,-0.7371902883513506,-0.1251989412656862
1576015200000,144.95,145.9,144.95,145.75,3963.42962,146.23399999999998,146.0655377287646,43.0013313373042,-0.7832260906967292,-0.7463974488204264,-0.03682864187630286
1576018800000,145.75,145.92,145.5,145.56,3553.27429,146.1505,146.0173912760054,41.35241114569354,-0.7274347301101614,-0.7426049050783734,0.015170174968212047
1576022400000,145.53,145.87,145.51,145.74,1948.09925,146.077,145.9909730580512,43.56044096332633,-0.6610747213302659,-0.7262988683287519,0.065224146998486
1576026000000,145.74,146.34,145.61,146.11,4253.5464,146.02849999999998,146.0023089577471,47.902406177509086,-0.5720339768864164,-0.6954458900402848,0.12341191315386835
1576029600000,146.11,146.3,145.76,145.93,3259.01088,145.9695,145.9954223900883,46.04650492980758,-0.5101127785114556,-0.6583792677345189,0.1482664892230633
1576033200000,145.93,145.96,144.98,145.49,4916.10811,145.88049999999998,145.94728692275729,41.78482368268295,-0.4908854831634528,-0.6248805108203057,0.1339950276568529
1576036800000,145.52,145.8,145.3,145.52,3362.19096,145.8125,145.90659292888355,42.17776925186981,-0.46783406392310667,-0.593471221440866,0.12563715751775928
1576040400000,145.53,145.77,144.85,144.9,4400.63126,145.71099999999998,145.81072693303454,36.66904651170497,-0.4939010823083265,-0.5735571936143581,0.07965611130603156
1576044000000,144.91,145.65,144.84,145.49,5050.32441,145.6225,145.7801815100849,44.1451180985431,-0.46162993053255263,-0.551171740997997,0.0895418104654444
1576047600000,145.51,145.81,145.19,145.67,4057.45534,145.54450000000003,145.76968803269904,46.230560090458354,-0.4167265503032809,-0.5242827028590538,0.10755615255577289
1576051200000,145.67,145.9,145.6,145.75,4018.27011,145.469,145.76781298192782,47.174582021188336,-0.3704150523994372,-0.49350917276713047,0.1230941203676933
1576054800000,145.75,146.17,145.71,145.84,8442.74951,145.411,145.7746879361559,48.274817904439004,-0.32273037395739834,-0.45935341300518406,0.13662303904778572
1576058400000,145.85,145.89,145.3,145.69,6809.80659,145.398,145.76662241829305,46.53518450917788,-0.2936585561015761,-0.4262144416244625,0.13255588552288639
1576062000000,145.73,145.8,145.52,145.61,3713.85043,145.4215,145.75170599727943,45.591547774043526,-0.2739167209598179,-0.3957548974915336,0.12183817653171569
1576065600000,145.57,146.21,145.54,146.08,8952.40373,145.4575,145.78297209320104,51.778246303829114,-0.21783503563838735,-0.3601709251209043,0.14233588948251696
1576069200000,146.07,146.12,145.27,145.48,4917.40914,145.4975,145.7541176077799,44.77825049962447,-0.21927719060718687,-0.33199217821816085,0.11271498761097398
1576072800000,145.51,145.75,145.13,145.3,6193.24697,145.5265,145.7108683113203,42.90430377638306,-0.2322671730971706,-0.3120471771939628,0.0797800040967922
1576076400000,145.3,145.34,142.12,142.8,39625.91456,145.418,145.43364275507417,26.387159853412438,-0.4392277898845407,-0.33748329973207836,-0.10174449015246234
1576080000000,142.81,143.58,142.19,142.91,16333.99906,145.329,145.19329582383332,27.70594497644198,-0.5875960475967474,-0.3875058493050122,-0.20009019829173524
1576083600000,142.91,143.42,142.66,143.3,6745.09475,145.246,145.01298193436529,32.33448937446907,-0.6660316221849882,-0.4432110038810074,-0.2228206183039808
1576087200000,143.3,143.38,142.82,142.97,4127.92041,145.10700000000003,144.81841222488177,30.55204436257341,-0.746218677806155,-0.5038125386660369,-0.2424061391401181
1576090800000,142.96,143.14,142.51,142.79,3742.74828,144.9685,144.62523010692493,29.593761862536976,-0.814898351836348,-0.5660297013000991,-0.24886865053624885
1576094400000,142.78,142.78,142.47,142.49,2645.13416,144.80599999999998,144.4218748574069,28.01651103207193,-0.8833522462834935,-0.629494210296778,-0.2538580359867155
1576098000000,142.49,142.93,142.45,142.9,2692.88583,144.64550000000003,144.27693439399744,33.2523228831396,-0.8942109698955676,-0.682437562216536,-0.21177340767903163
1576101600000,142.9,143.12,142.76,143.11,3865.68126,144.5045,144.1657977844908,35.827004729869635,-0.8757759417295858,-0.721105238119146,-0.15467070361043989
1576105200000,143.1,143.45,142.99,143.39,3768.62344,144.39950000000002,144.0919122808724,39.19484315405544,-0.8290160086453398,-0.7426873922243847,-0.08632861642095502
1576108800000,143.41,144.11,141.27,141.89,24524.01554,144.21800000000002,143.88220634850424,30.08570899043112,-0.9025913772130139,-0.7746681892221106,-0.1279231879909033
