,CL=F,RUB=X
2021-12-29 15:00:00+00:00,77.06999969482422,74.17603302001953
2021-12-29 16:00:00+00:00,75.76000213623047,74.1642074584961
2021-12-29 17:00:00+00:00,76.33000183105469,74.09384155273438
2021-12-29 18:00:00+00:00,76.51000213623047,74.07060241699219
2021-12-29 19:00:00+00:00,76.44999694824219,74.06279754638672
2021-12-29 20:00:00+00:00,76.4800033569336,74.01329803466797
2021-12-29 21:00:00+00:00,76.58999633789062,73.63999938964844
2021-12-29 23:00:00+00:00,76.56999969482422,74.0020980834961
2021-12-30 00:00:00+00:00,76.47000122070312,74.10669708251953
2021-12-30 01:00:00+00:00,76.81999969482422,74.00260162353516
2021-12-30 02:00:00+00:00,76.93000030517578,73.81500244140625
2021-12-30 03:00:00+00:00,76.81999969482422,73.9800033569336
